col_0,col_1,col_2,col_3,col_4,col_5,col_6,suggested_move
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,3
xbbbbb,bbbbbb,bbbbbb,obbbbb,xbbbbb,bbbbbb,bbbbbb,2
xbbbbb,bbbbbb,obbbbb,obbbbb,xbbbbb,xbbbbb,bbbbbb,4
xbbbbb,bbbbbb,obbbbb,obbbbb,xobbbb,xbbbbb,xbbbbb,0
xobbbb,bbbbbb,obbbbb,obbbbb,xobbbb,xbbbbb,xxbbbb,2
xobbbb,bbbbbb,oobbbb,obbbbb,xobbbb,xbbbbb,xxxbbb,6
xobbbb,bbbbbb,oobbbb,obbbbb,xobbbb,xbbbbb,xxxoxb,5
xobbbb,bbbbbb,oobbbb,obbbbb,xobbbb,xoxbbb,xxxoxb,3
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,0
obbbbb,bbbbbb,bbbbbb,xbbbbb,xbbbbb,bbbbbb,bbbbbb,3
obbbbb,bbbbbb,bbbbbb,xobbbb,xbbbbb,xbbbbb,bbbbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,4
bbbbbb,bbbbbb,bbbbbb,xbbbbb,obbbbb,xbbbbb,bbbbbb,0
obbbbb,bbbbbb,bbbbbb,xbbbbb,obbbbb,xxbbbb,bbbbbb,1
obbbbb,obbbbb,bbbbbb,xbbbbb,obbbbb,xxxbbb,bbbbbb,5
obbbbb,obbbbb,bbbbbb,xbbbbb,obbbbb,xxxoxb,bbbbbb,5
obbbbb,obbbbb,bbbbbb,xxbbbb,obbbbb,xxxoxo,bbbbbb,4
obbbbb,obbbbb,bbbbbb,xxxbbb,oobbbb,xxxoxo,bbbbbb,3
obbbbb,obbbbb,bbbbbb,xxxoxb,oobbbb,xxxoxo,bbbbbb,4
obbbbb,obbbbb,bbbbbb,xxxoxb,oooxbb,xxxoxo,bbbbbb,1
obbbbb,oobbbb,bbbbbb,xxxoxb,oooxbb,xxxoxo,xbbbbb,6
obbbbb,ooxbbb,bbbbbb,xxxoxb,oooxbb,xxxoxo,xobbbb,3
obbbbb,ooxbbb,bbbbbb,xxxoxo,oooxxb,xxxoxo,xobbbb,0
ooxbbb,ooxbbb,bbbbbb,xxxoxo,oooxxb,xxxoxo,xobbbb,1
ooxbbb,ooxobb,xbbbbb,xxxoxo,oooxxb,xxxoxo,xobbbb,6
bbbbbb,bbbbbb,bbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,1
bbbbbb,obbbbb,xbbbbb,bbbbbb,xbbbbb,bbbbbb,bbbbbb,2
bbbbbb,obbbbb,xobbbb,bbbbbb,xbbbbb,xbbbbb,bbbbbb,3
bbbbbb,obbbbb,xobbbb,obbbbb,xbbbbb,xxbbbb,bbbbbb,0
obbbbb,obbbbb,xobbbb,obbbbb,xbbbbb,xxxbbb,bbbbbb,5
obbbbb,obbbbb,xobbbb,obbbbb,xbbbbb,xxxoxb,bbbbbb,5
obbbbb,obbbbb,xobbbb,obbbbb,xbbbbb,xxxoxo,xbbbbb,3
obbbbb,obbbbb,xobbbb,ooxbbb,xbbbbb,xxxoxo,xbbbbb,1
oxbbbb,oobbbb,xobbbb,ooxbbb,xbbbbb,xxxoxo,xbbbbb,4
